                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.9588,                 1.9711,                 2.5951,                0.70942,                0.73242,                0.74309,                0.34095,                  2.059,                 1.7971,                 2.7709,             0.00099416,             0.00099416,             0.00099416
                    130,                 2.0094,                 1.9726,                 2.5848,                0.68549,                0.71667,                0.78517,                 0.3803,                 1.9628,                 1.6516,                 2.6881,             0.00098624,             0.00098624,             0.00098624
                    131,                 2.1248,                 2.0847,                 2.6372,                0.72558,                0.68333,                0.78719,                0.38891,                 1.8801,                 1.6571,                 2.6417,             0.00097832,             0.00097832,             0.00097832
                    132,                 1.9643,                 2.0396,                 2.5588,                0.63376,                0.76667,                0.78533,                0.39147,                 1.8533,                 1.7287,                 2.6335,              0.0009704,              0.0009704,              0.0009704
                    133,                  1.993,                 1.9408,                  2.533,                0.63376,                0.76667,                0.78533,                0.39147,                 1.8533,                 1.7287,                 2.6335,             0.00096248,             0.00096248,             0.00096248
                    134,                 2.0267,                 2.0402,                 2.6191,                0.66847,                0.63856,                0.76421,                0.38955,                 1.8083,                 1.8265,                  2.607,             0.00095456,             0.00095456,             0.00095456
                    135,                 1.9717,                 2.0008,                 2.6003,                0.71487,                0.63333,                0.75351,                0.39472,                 1.7495,                 1.8816,                 2.5505,             0.00094664,             0.00094664,             0.00094664
                    136,                 1.9525,                 1.9865,                 2.5161,                 0.6585,                0.51667,                0.68665,                0.33108,                 1.7642,                 1.9901,                 2.5787,             0.00093872,             0.00093872,             0.00093872
                    137,                 2.0304,                 2.0285,                 2.6337,                 0.6585,                0.51667,                0.68665,                0.33108,                 1.7642,                 1.9901,                 2.5787,              0.0009308,              0.0009308,              0.0009308
                    138,                 1.9163,                 1.9574,                 2.5872,                0.52862,                0.51667,                0.59013,                0.28774,                 1.8263,                 2.1147,                 2.6838,             0.00092288,             0.00092288,             0.00092288
                    139,                 2.0128,                 1.9343,                 2.6124,                0.53769,                0.48463,                0.57469,                 0.2575,                  1.869,                 2.2294,                  2.792,             0.00091496,             0.00091496,             0.00091496
                    140,                 1.9986,                 1.8443,                 2.5726,                0.84323,                   0.35,                0.49012,                0.23531,                 1.8931,                 2.3382,                 2.8939,             0.00090704,             0.00090704,             0.00090704
                    141,                 1.9084,                 1.9069,                 2.4968,                0.84323,                   0.35,                0.49012,                0.23531,                 1.8931,                 2.3382,                 2.8939,             0.00089912,             0.00089912,             0.00089912
                    142,                 1.9078,                  1.844,                 2.4822,                0.67149,                0.40893,                0.51919,                0.23318,                 1.9194,                   2.39,                 2.9481,              0.0008912,              0.0008912,              0.0008912
                    143,                  1.966,                 1.8702,                 2.5815,                0.74426,                    0.4,                0.54529,                 0.2377,                 1.9408,                 2.2433,                 2.9004,             0.00088328,             0.00088328,             0.00088328
                    144,                 1.9906,                 1.8912,                 2.5564,                0.51395,                0.63444,                 0.6553,                 0.3125,                  1.878,                 1.8864,                 2.7437,             0.00087536,             0.00087536,             0.00087536
                    145,                 1.9088,                 1.7921,                 2.4607,                0.51395,                0.63444,                 0.6553,                 0.3125,                  1.878,                 1.8864,                 2.7437,             0.00086744,             0.00086744,             0.00086744
                    146,                 2.0057,                 1.9327,                 2.5297,                0.78267,                   0.75,                0.84973,                 0.4291,                 1.8008,                 1.5848,                 2.5789,             0.00085952,             0.00085952,             0.00085952
                    147,                 1.9229,                 1.7331,                 2.4771,                0.83452,                   0.75,                 0.8633,                0.43072,                  1.845,                 1.5287,                 2.5454,              0.0008516,              0.0008516,              0.0008516
